Friendly Name	IP Address	Device Manufacturer	Status
ap001-Calmar-BA-Kancel	10.82.0.105	RADIUS Standard	Disabled
TG-BA-AP-01	10.82.11.2	RADIUS Standard	Enabled
apm03-LDBA-Rampa-new	10.82.40.13	RADIUS Standard	Enabled
TG-ZA-AP-01	10.83.11.2	RADIUS Standard	Enabled
TG-ZA-AP-28-Vchod	10.83.11.41	RADIUS Standard	Enabled
Ryba apR006-Nakup	192.168.7.118	RADIUS Standard	Enabled
Ryba apR003-EKO	192.168.7.124	RADIUS Standard	Disabled
apRm10-IT	192.168.7.127	RADIUS Standard	Enabled
Ryba apR001-OR	192.168.7.132	RADIUS Standard	Enabled
ke-noe-ap-04	192.168.7.141	RADIUS Standard	Enabled
Ryba apR008-IT	192.168.7.152	RADIUS Standard	Enabled
Ryba apR011-Zasadacka-nahrada	192.168.7.155	RADIUS Standard	Enabled
Ryba apR007-Zasadacka	192.168.7.175	RADIUS Standard	Enabled
Ryba apR005-CallCentrum	192.168.7.186	RADIUS Standard	Enabled
Ryba apR009-Labak	192.168.7.207	RADIUS Standard	Enabled
ap003-PAM	192.168.7.51	RADIUS Standard	Enabled
Ryba apR004-Expedicia	192.168.7.72	RADIUS Standard	Enabled
Ryba apR006-Vyroba-Majstri	192.168.7.76	RADIUS Standard	Disabled
Ryba apR002-MTZ	192.168.7.77	RADIUS Standard	Enabled
Apm06-Rke-Zasadacka	192.168.7.79	RADIUS Standard	Disabled
